Reported,TimeReported,Location,ReportNum,Occurred,TimeOccurred,IncidentType,Summary,GROUP1,Weekdays
12/13/2014,2:46 PM,32ND ST & HOOVER ST,1404893,12/13/2014,2:47 PM,TRAFFIC,"DPS officers responded to a traffic collision involving two vehicles, one of which was driven by a student.  The driver of the second vehicle complained of injuries to his arm and neck, so an LAFD RA unit was requested.  RA Unit #814 responded and examined the subject, then transported him to California Hospital for medical treatment.  LAPD officers were also requested and responded to conduct a traffic investigation.",ADMIN/SERVICE/COMPLAINT,Sunday
12/13/2014,5:36 PM,AHMANSON CENTER FOR BIOLOGICAL RESEARCH,1404894,12/13/2014,5:35 PM,FIRE,DPS officers and LAFD Unit #15 responded to a first floor fire alarm activation from a pull station.  No smoke or fire was found.  LAFD reset the alarm then cleared the building for reentry.,HEALTH & SAFETY,Sunday
12/13/2014,5:15 PM,TROY HALL,1404895,12/13/2014,5:20 PM,SERVICE,DPS officers responded to the location to check on the welfare of a student who was reported to be contemplating harming herself.  The student was unharmed when contacted by the officers and after speaking with a counselor at the Student Counseling Center and an LAFD Mental Evaluation Unit she was transported to a mental health facility for further evaluation.,ADMIN/SERVICE/COMPLAINT,Sunday
12/14/2014,1:27 AM,EGG COMPANY II,1404896,12/13/2014,11:30 AM,THEFT-PETTY,A suspect removed a bicycle secured to a bike rack.,THEFT,Sunday
12/14/2014,3:02 AM,THE ROW SOUTH ALLEY,1404897,12/14/2014,2:45 AM,PROPERTY,A security guard recovered a fraternity's composite photo from a suspect who was observed carrying it near the location.  The suspect then walked away and disappeared from sight.,THEFT,Monday
12/14/2014,6:11 AM,EXPOSITION BLVD. PARKING STRUCTURE,1404898,12/14/2014,6:11 AM,BURGLARY-MOTOR VEHICLE,"DPS officers responded to a report of a burglary from a motor vehicle in progress at the location and detained a suspect who they found lying in the back seat.  The officers contacted the owner and determined that no one had permission to enter the vehicle, then the suspect was arrested and transported to MDC for booking.",THEFT,Monday
12/14/2014,11:17 AM,ALLAN HANCOCK FOUNDATION,1404899,12/14/2014,11:20 AM,EH&S,DPS officers responded to a report of a water leak at the location and upon their arrival FMS personnel at the scene advised them that a pipe connected to a third floor sink had ruptured and flooded multiple floors.  The FMS personnel shut off the water to the sink and additional personnel were requested to clean up and conduct repairs.,HEALTH & SAFETY,Monday
12/14/2014,11:12 AM,RADIO SHACK,1404900,12/14/2014,11:16 AM,SERVICE,"DPS officers responded to a report of a store manager involved in a confrontation with a shoplifting suspect at the location.  The officers detained the suspect, but the manager did not desire criminal prosecution of the matter and the suspect was released after being advised not to return to the store.",ADMIN/SERVICE/COMPLAINT,Monday
12/14/2014,2:53 PM,3029 SHRINE PL,1404901,12/12/2014,3:00 PM,PROPERTY,A student reported his bicycle missing.,THEFT,Saturday
12/14/2014,9:10 PM,ELVON & MABEL MUSICK LAW BUILDING CENTER,1404902,12/14/2014,11:00 AM,PROPERTY,A student reported his bicycle missing.,THEFT,Monday
12/15/2014,12:02 AM,THOMAS & DOROTHY LEAVEY LIBRARY,1404903,12/14/2014,11:58 PM,SERVICE,DPS officers responded to a student who fell and injured her ankle while riding her skateboard near the location.  An LAFD RA unit was requested and Unit #15 responded.  The RA Unit examined the student then transported her to California Hospital for medical treatment.,ADMIN/SERVICE/COMPLAINT,Monday
12/15/2014,12:19 AM,JEFFERSON BL & HOOVER ST,1404904,12/15/2014,12:10 AM,SERVICE,DPS officers responded to a report of a non-USC male passed out behind the wheel of a vehicle stopped in the left turn lane at the location.  The male appeared to be intoxicated when awakened by the officers and he was arrested after failing a field sobriety test administered by CHP officers who responded to the scene.,ADMIN/SERVICE/COMPLAINT,Tuesday
12/15/2014,12:29 AM,ADAMS BL & MAGNOLIA ST,1404905,12/15/2014,12:25 AM,TRAFFIC,"A student drove a University vehicle into a fence and a tree near the location, causing unspecified damage.",ADMIN/SERVICE/COMPLAINT,Tuesday
12/15/2014,11:27 AM,HEALTHCARE CENTER 4,1404906,12/15/2014,11:48 AM,SERVICE,DPS officers responded to a non-USC female complaining of difficulty breathing.  A Rapid Response team was at the scene evaluating the female when the officers arrived and she was subsequently transported to Keck Hospital for medical treatment.,ADMIN/SERVICE/COMPLAINT,Tuesday
12/15/2014,11:32 AM,RAY & NADINE WATT HALL OF ARCHITECTURE & FINE ARTS,1404907,12/15/2014,12:00 AM,VANDALISM,A suspect spray painted graffiti on a wall at the location and on the ground outside two other buildings.,ADMIN/SERVICE/COMPLAINT,Tuesday
12/15/2014,11:44 AM,ELAINE & KENNETH LEVENTHAL SCHOOL OF ACCOUNTING,1404908,12/15/2014,12:30 PM,SERVICE,DPS officers responded to a student who injured her ankle when she tripped and fell while walking down a flight of stairs inside the location.  An LAFD RA unit was requested and Unit #413 responded.  The RA Unit examined the student then transported her to California Hospital for medical treatment.,ADMIN/SERVICE/COMPLAINT,Tuesday
12/15/2014,3:26 PM,ELISABETH VON KLEINSMID MEMORIAL RESIDENCE HALL,1404909,8/18/2014,10:00 PM,PROPERTY,A student reported her bicycle missing.,THEFT,Tuesday
12/15/2014,4:26 PM,JEFFERSON BUILDING,1404910,12/15/2014,1:10 PM,PROPERTY,A student reported his wallet missing.,THEFT,Tuesday
12/15/2014,4:24 PM,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTITUTE,1404911,12/12/2014,11:30 AM,THEFT-PETTY,A suspect entered an unsecured office and used unknown means to remove currency from a secured locker.,THEFT,Saturday
12/15/2014,7:18 PM,HENRY SALVATORI COMPUTER SCIENCE CENTER,1404912,12/15/2014,3:15 PM,THEFT-PETTY,A suspect removed the front wheel from a bicycle secured to a bike rack.,THEFT,Tuesday
12/16/2014,12:39 AM,CENTURY APARTMENTS,1404913,12/16/2014,12:30 AM,TRAFFIC,"A student backed a University vehicle into another student's parked vehicle, causing minor damage to both of them.",ADMIN/SERVICE/COMPLAINT,Wednesday
12/16/2014,12:30 AM,1239 30TH ST,1404914,11/6/2012,12:01 AM,IDENTITY THEFT,A suspect used a student's name to obtain medical care at Good Samaritan Hospital.,THEFT,Wednesday
12/16/2014,8:53 AM,USC CREDIT UNION BUILDING,1404916,12/16/2014,8:40 AM,SERVICE,"DPS officers responded to a staff member who cut her finger while washing a coffee mug.  The staff member had bandaged her finger prior to the officers' arrival and they subsequently transported her to SHC for medical treatment, per her request.",ADMIN/SERVICE/COMPLAINT,Wednesday
12/16/2014,9:34 AM,EXPOSITION BLVD. PARKING STRUCTURE,1404917,12/16/2014,8:00 AM,PROPERTY,"A roll up gate lowered and struck a student's vehicle as she was driving into the location, scratching and denting the hood.",THEFT,Wednesday
12/16/2014,10:29 AM,PARKING STRUCTURE C,1404918,12/16/2014,7:15 AM,PROPERTY,A student reported that the rear bumper was damaged while her vehicle was parked at the location.,THEFT,Wednesday
12/16/2014,1:08 PM,2833 MENLO AV,1404919,12/2/2014,11:00 AM,PROPERTY,A student reported that the passenger side headlight and hood were damaged while his vehicle was parked at the location.,THEFT,Wednesday
12/16/2014,9:41 AM,PARKING STRUCTURE C,1404920,12/16/2014,9:10 AM,SERVICE,A suspect used unknown means to detach an immobilization device from the rear driver's side wheel of a vehicle that was locked down for numerous outstanding citations and subsequently drove away.,ADMIN/SERVICE/COMPLAINT,Wednesday
12/16/2014,3:00 PM,EXPOSITION BL & FIGUEROA ST,1404921,12/15/2014,2:00 PM,PROPERTY,A wallet was found at the location and turned in to DPS Lost & Found.,THEFT,Tuesday
12/16/2014,5:50 PM,JOINT EDUCATIONAL PROJECT HOUSE,1404922,12/16/2014,12:00 PM,THEFT-GRAND,A non-USC female reported that she purchased numerous used textbooks from a group of suspects on behalf of a book resale company and later discovered that they were worthless because the subjects had added fake bar codes and other identifiers to make the books appear to be more recent editions.,THEFT,Wednesday
12/16/2014,5:42 PM,RAY R. IRANI HALL,1404923,12/16/2014,5:32 PM,HARASSMENT,A student reported receiving an email message allegedly sent to her by DPS stating that she was the subject of a criminal investigation.  The student contacted DPS and was advised that the message was a hoax.,NON-PHYSICAL,Wednesday
12/16/2014,7:51 PM,28TH ST & FIGUEROA ST,1404924,12/16/2014,7:50 PM,TRAFFIC,"A staff member driving a University tram collided with a non-USC female driving her personal vehicle, causing unspecified damage.",ADMIN/SERVICE/COMPLAINT,Wednesday
12/16/2014,5:07 PM,BRIDGE MEMORIAL HALL,1404925,12/16/2014,3:00 PM,SERVICE,A faculty member reported that she discovered disturbing posts made by a student on a social media site that caused her to believe he may be a danger to others.,ADMIN/SERVICE/COMPLAINT,Wednesday
12/16/2014,8:46 PM,SHRINE AUDITORIUM,1404926,12/16/2014,8:46 PM,FIRE,CHARLOTTE S. & DAVRE R. DAVIDSON CONTINUING EDUCAT,HEALTH & SAFETY,Wednesday
12/16/2014,7:21 PM,TROY HALL,1404927,12/16/2014,7:21 AM,FORCIBLE SEX OFFENSE,DPS officers and LAFD Units #15 and 420 responded to fire alarm activation due to unknown cause.  No smoke or fire was found.  LAFD reset the alarm then cleared the building for reentry.,SEXUAL ASSAULT,Wednesday
12/16/2014,7:14 PM,RADISSON MIDCITY HOTEL,1404928,12/16/2014,7:14 PM,FIRE,DPS officers and LAFD Units #15 and 420 responded to a third floor fire alarm activation due to smoke from burnt food.  No fire was found.  LAFD reset the alarm then cleared the building for reentry.,HEALTH & SAFETY,Wednesday
12/16/2014,4:54 PM,THE LORENZO APARTMENTS,1404929,12/12/2014,4:50 PM,FIRE,DPS officers and LAFD Unit #15 responded to an eleventh floor fire alarm activation due to construction. No smoke or fire was found.  LAFD reset the alarm then cleared the floor for reentry.,HEALTH & SAFETY,Saturday
12/16/2014,11:55 PM,RALPHS SUPERMARKET,1404930,12/17/2014,12:15 AM,PROPERTY,A student reported his bicycle missing.,THEFT,Thursday
12/18/2014,9:07 AM,PERTUSATI UNIVERSITY BOOKSTORE,1404951,12/18/2014,8:50 AM,PROPERTY,U.S. currency was delivered to DPS lost and found.,THEFT,Friday
12/18/2014,9:04 AM,CLINICAL SCIENCES ANNEX,1404952,12/15/2014,5:00 PM,HARASSMENT,Staff members reported receiving numerous lewd phone calls.,NON-PHYSICAL,Tuesday
12/18/2014,12:48 PM,OUTSIDE USC AREA,1404953,11/20/2014,6:00 PM,PROPERTY,A student reported his wallet lost.,THEFT,Friday
12/18/2014,11:14 AM,PERTUSATI UNIVERSITY BOOKSTORE,1404954,12/18/2014,11:10 AM,SERVICE,A non-USC male was arrested for announcing a false threat of a nuclear warhead.,ADMIN/SERVICE/COMPLAINT,Friday
12/18/2014,11:18 AM,TROJAN HEIGHTS,1404955,12/18/2014,10:25 AM,THEFT-PETTY,Unknown suspect(s) removed a kitchen stove from the garage area.,THEFT,Friday
12/18/2014,10:12 AM,RONALD TUTOR CAMPUS CENTER,1404956,12/18/2014,2:55 PM,FIRE,Unknown person activated the building fire alarm. There was no sign of smoke or fire.,HEALTH & SAFETY,Friday
12/18/2014,2:41 PM,BIEGLER HALL OF ENGINEERING,1404957,12/18/2014,10:10 AM,TRAFFIC,A Tram Bus struck a parked motorcycle.,ADMIN/SERVICE/COMPLAINT,Friday
12/18/2014,4:34 PM,MARK TAPER HALL OF HUMANITIES,1404958,12/18/2014,2:35 PM,OBSCENE ACTIVITY,A student reported another student conducting a lewd act in the mens restroom,ADMIN/SERVICE/COMPLAINT,Friday
12/18/2014,4:46 PM,DEAN BARTLETT CROMWELL FIELD,1404959,12/18/2014,4:30 PM,SERVICE,A student was removed from band practice after feeling ill.,ADMIN/SERVICE/COMPLAINT,Friday
12/18/2014,6:42 PM,GENERAL WILLIAM LYON UNIVERSITY CENTER,1404960,12/18/2014,3:00 PM,PROPERTY,"A student reported his gym bag containing his cell phone, car keys, and wallet missing.",THEFT,Friday
12/18/2014,8:16 PM,KECK HOSPITAL OF USC,1404961,12/18/2014,6:35 PM,TRAFFIC,A female was backing her vehicle from a parking stall and struck a parked vehicle.,ADMIN/SERVICE/COMPLAINT,Friday
12/18/2014,7:37 PM,GENERAL WILLIAM LYON UNIVERSITY CENTER,1404962,12/18/2014,2:30 PM,THEFT-PETTY,Unknown suspect removed a wallet and car keys from an unattended backpack while the owner (a student) played basketball.,THEFT,Friday
12/18/2014,4:56 PM,NORFOLK ST & PLAYGROUND ST,1404963,12/18/2014,6:45 AM,BURGLARY-MOTOR VEHICLE,Unknown suspect used an unknown object to smash the right-front window of a staff member's vehicle then ransacked the interior without taking any property.,THEFT,Friday
12/18/2014,9:34 PM,30TH ST & FIGUEROA ST,1404964,12/15/2014,4:00 PM,BATTERY,An unknown male suspect for unknown reason slapped a female student while waiting for a crossing light.,PHYSICAL HARM,Tuesday
12/18/2014,9:43 PM,RAULSTON MEMORIAL RESEARCH BUILDING,1404965,12/18/2014,7:00 PM,THEFT-GRAND AUTO,Unknown suspect attempted to take a staff member's vehicle but failed due to the vehicle being equipped with a kill switch.,THEFT,Friday
12/18/2014,12:19 AM,RADISSON MIDCITY HOTEL,1404966,12/18/2014,9:43 PM,ALCOHOL,An intoxicated staff member was arrested after leaving a Christmas party.,SUBSTANCE ABUSE,Friday
12/19/2014,8:47 AM,JEFFERSON BL & HOPE ST,1404968,12/19/2014,8:50 AM,TRAFFIC,"DPS officers responded to a traffic collision involving two vehicles, one of which was driven by a student.  The driver of the second vehicle complained of dizziness and pain to his arms, so an LAFD RA unit was requested.  RA Unit #15 responded, treated and released the subject.  LAPD officers were also requested and responded to conduct a traffic investigation.",ADMIN/SERVICE/COMPLAINT,Saturday
12/19/2014,9:17 AM,GWYNN WILSON STUDENT UNION,1404969,12/3/2014,9:15 AM,THEFT-GRAND,A suspect used unknown means to make three unauthorized purchases on a staff member's University credit card account.,THEFT,Thursday
12/19/2014,8:54 AM,UNIVERSITY GARDENS,1404970,12/19/2014,9:00 AM,SERVICE,DPS officers responded to the location to serve a staff member with a restraining order on behalf of a student. The Restraining order was given to the staff member without incident and the officers cleared the scene.,ADMIN/SERVICE/COMPLAINT,Saturday
12/19/2014,9:36 AM,THE LAB,1404971,12/19/2014,9:32 AM,THEFT-PETTY,"A staff member reported that a former employee entered the bar area of the location and removed several bottles of alcohol, then left without paying for them.",THEFT,Saturday
12/19/2014,3:03 PM,UNITED UNIVERSITY CHURCH,1404972,12/19/2014,10:00 AM,OBSCENE ACTIVITY,"A non-USC female reported that a suspect exposed his penis upon exiting a restroom inside the location.  The suspect then left the premises.  The female did not report the incident at the time it occurred, so DPS officers were unable to conduct a search for the suspect.",ADMIN/SERVICE/COMPLAINT,Saturday
12/19/2014,5:30 PM,ELAINE STEVELY HOFFMAN MEDICAL RESEARCH CENTER,1404973,1/1/2014,12:01 AM,PROPERTY,A faculty member reported several microscope lens' and a camera missing from a laboratory at the location.,THEFT,Thursday
12/19/2014,5:14 PM,DEAN BARTLETT CROMWELL FIELD,1404974,12/19/2014,5:14 PM,SERVICE,"DPS officers responded to a student who sustained a cut to his forehead when he collided with another student while playing soccer.  An LAFD RA unit was requested and Unit #15 responded.  The RA Unit examined the student, then he was released to the officers and they transported him to California Hospital for medical treatment.",ADMIN/SERVICE/COMPLAINT,Saturday
12/19/2014,6:23 PM,OUTSIDE USC AREA,1404975,12/19/2014,4:40 PM,TRAFFIC,"A staff member reported that while she was driving a University tram downtown she was flagged down by a non-USC female who claimed that the tram struck her vehicle.  The staff member stated that she exchanged information with the female, but she was unaware of a collision and there was no damage to the tram.",ADMIN/SERVICE/COMPLAINT,Saturday
12/19/2014,11:28 PM,KECK MEDICINE - DOWNTOWN,1404976,12/19/2014,11:20 PM,EH&S,DPS officers and LAFD Unit #10 responded to multiple fire alarm activations due to a water leak.  LAFD determined that the leak was caused by a ruptured pipe in the ceiling of a room and shut off the water to it.  FMS personnel were then requested and responded to clean up and conduct repairs.,HEALTH & SAFETY,Saturday
12/20/2014,12:26 AM,ALPHA PHI,1404977,12/20/2014,12:25 AM,THEFT-PETTY,"The house mother at the location reported that while monitoring surveillance cameras she observed two suspects remove two bicycles from the racks outside the location.  The house mother confronted the suspects as they attempted to walk away with the bikes and they abandoned them at the scene before fleeing on foot.  DPS officers responded and conducted a search, but were unable to locate the suspects.",THEFT,Sunday
12/20/2014,4:52 AM,DELTA GAMMA,1404979,12/20/2014,4:58 AM,DISORDERLY CONDUCT,A suspect used unknown means to gain entry to an apartment and removed a laptop computer.,ADMIN/SERVICE/COMPLAINT,Sunday
12/20/2014,12:30 PM,CARDINAL GARDENS,1404980,12/15/2014,1:00 PM,BURGLARY,"DPS officers responded to a report of a student having sustained unknown injuries during a possible altercation with another student, but when they attempted to contact her she refused to speak with them and left the location.",THEFT,Tuesday
12/20/2014,10:16 AM,37TH PL & VERMONT AV,1404981,12/20/2014,10:45 AM,OBSCENE ACTIVITY,DPS officers responded to a report of two males involved in an altercation outside the location and upon their arrival they observed one of the subjects charge at the other and punch him several times.  The officers detained both subjects and determined that the one who was punched was a student.  The second subject had a cut to his head which he claimed to have sustained prior to the incident and an LAFD RA unit subsequently transported him for medical treatment.  The student did not desire criminal prosecution of the matter.,ADMIN/SERVICE/COMPLAINT,Sunday
12/20/2014,5:14 PM,THE LORENZO APARTMENTS,1404982,12/20/2014,5:10 PM,SERVICE,"DPS officers responded to a non-USC female who reported that she confronted a suspect after observing him exit her yard with property he had removed from the premises.  The female recovered her property and she subsequently pointed out the suspect seated inside a vehicle parked nearby.  The officers detained the suspect, then he was arrested and transported to MDC for booking.",ADMIN/SERVICE/COMPLAINT,Sunday
12/21/2014,2:39 AM,UNIVERSITY REGENT,1404983,12/21/2014,2:39 AM,BATTERY,DPS officers responded to a report of a suspect removing an inner tube from a bike parked at the location and detained him for investigation.  The officers found the suspect in possession of an inner tube and a bike that was registered to a student and when they contacted him he stated that no one had permission to remove it.  The suspect was then arrested and transported to 77th station for booking.,PHYSICAL HARM,Monday
12/21/2014,5:55 AM,RICHARD MERKIN MIDDLE SCHOOL,1404984,12/21/2014,5:45 AM,THEFT-PETTY,A suspect removed a bicycle secured to a bike rack.,THEFT,Monday
12/21/2014,9:33 AM,ALPHA PHI,1404985,12/21/2014,9:33 AM,THEFT-PETTY,DPS officers on routine patrol observed a suspect throw a can on the ground as he observed them approaching and detained him for investigation. The suspect appeared to be under the influence of a controlled substance and a check of his name revealed an outstanding warrant. The suspect was then arrested and transported to 77th station for booking.,THEFT,Monday
12/21/2014,4:04 PM,3110 WALTON AV,1404986,12/19/2014,6:30 PM,THEFT-PETTY,"A staff member reported that he observed a suspicious male at the location and based on his description DPS officers concluded that the subject was a known trespassing suspect.  The staff member did not report the incident at the time it occurred, so DPS officers were unable to conduct a search for the suspect.",THEFT,Saturday
12/21/2014,2:06 AM,31ST ST & ORCHARD AV,1404987,12/21/2014,4:04 PM,WARRANT,DPS officers responded to a student who reported that he had been suffering from dizziness and headaches for several days. An LAFD RA unit was requested and Unit #15 responded.  The RA Unit examined the student then transported him to California Hospital for medical treatment.,WARRANT,Monday
12/22/2014,4:14 AM,DAVID X. MARKS TENNIS STADIUM,1404988,12/21/2014,7:50 PM,TRESPASS,DPS officers on routine patrol observed a vehicle that appeared to have been abandoned at the location and a subsequent check of the license plate number revealed that it had been reported stolen.  A tow truck was then requested and responded to tow the vehicle to an impound yard.,HEALTH & SAFETY,Monday
12/23/2014,8:26 AM,PARKING STRUCTURE C,1404998,12/23/2014,8:30 AM,TRESPASS,"A staff member reported that he discovered a suspect sleeping in the back seat of the University vehicle he was driving near the location.  The suspect awoke when the staff member stopped the vehicle and she fled on foot in an unknown direction.  DPS officers responded and conducted a search, but were unable to locate the suspect.",HEALTH & SAFETY,Wednesday
12/23/2014,12:33 PM,CVS PHARMACY,1405000,12/23/2014,9:24 AM,PROPERTY,"A suspect approached a student from behind while he was standing outside the location and snatched his backpack from his shoulder.  The suspect then fled on foot and disappeared from sight. The student did not report the incident at the time it occurred, so DPS officers were unable to conduct a search for the suspect.",THEFT,Wednesday
12/23/2014,1:38 PM,SIERRA APARTMENTS,1405001,12/23/2014,9:15 AM,THEFT-PETTY,A student reported his dental tools missing.,THEFT,Wednesday
12/23/2014,5:02 PM,THEFT-GRAND PERSON,1405002,12/22/2014,11:31 PM,THEFT-MOTOR VEHICLE,A suspect removed a bicycle secured to a bike rack.,THEFT,Tuesday
12/23/2014,4:46 PM,EILEEN & KENNETH T. NORRIS DENTAL SCIENCE CENTER,1405003,12/22/2014,11:30 PM,SERVICE,"A suspect entered an unsecured vehicle, and removed a USC parking permit and a garage door opener.",ADMIN/SERVICE/COMPLAINT,Tuesday
1/16/2015,9:48 AM,UPC PUBLIC SAFETY OFFICE,1500165,11/1/2015,12:00 PM,HARASSMENT,A DPS detective reported receiving several annoying and threatening phone calls from a suspect.,NON-PHYSICAL,Monday
1/16/2015,9:56 AM,UPC PUBLIC SAFETY OFFICE,1500166,1/16/2015,8:30 AM,SERVICE,A student was transported to a local hospital for psychiatric evaluation.,ADMIN/SERVICE/COMPLAINT,Saturday
1/16/2015,11:22 AM,UNIVERSITY GATEWAY APARTMENTS,1500167,1/13/2015,7:00 PM,PROPERTY,A student reported her bicycle missing.,THEFT,Wednesday
1/16/2015,12:53 PM,HEALTHCARE CENTER 2,1500168,1/12/2015,12:00 AM,SERVICE,A non-USC male was transported to a local hospital for treatment of an unspecified illness.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/16/2015,12:00 AM,RADIO SHACK,1500169,1/16/2015,12:00 AM,THEFT-PETTY,A suspect removed a pair of headphones.,THEFT,Saturday
1/16/2015,1:52 PM,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTITUTE,1500170,1/16/2015,1:45 PM,THEFT-PETTY,A suspect removed currency.,THEFT,Saturday
1/16/2015,2:15 PM,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTITUTE,1500171,1/16/2015,12:00 PM,THEFT-PETTY,A suspect removed a bicycle.,THEFT,Saturday
1/16/2015,4:42 PM,3038 ROYAL ST,1500172,1/16/2015,4:00 PM,TRAFFIC,A staff member's vehicle was immobilized for displaying an altered USC parking pass.,ADMIN/SERVICE/COMPLAINT,Saturday
1/16/2015,5:04 PM,PARKING STRUCTURE C,1500173,1/5/2015,12:00 AM,SERVICE,A student was transported to a local hospital for treatment of a knee injury.,ADMIN/SERVICE/COMPLAINT,Tuesday
1/16/2015,5:23 PM,WATT WAY BASKETBALL COURTS,1500174,1/7/2015,5:20 PM,THEFT-PETTY,A suspect removed a pair of sunglasses.,THEFT,Thursday
1/16/2015,5:49 PM,1208 30TH ST,1500175,1/2/2015,6:00 PM,PROPERTY,A student reported that the front bumper of a University vehicle was scratched by unknown means.,THEFT,Saturday
1/16/2015,7:16 PM,UNIVERSITY PARKING CENTER,1500176,1/16/2015,7:00 PM,ALCOHOL,An intoxicated non-USC male was transported to a detox center to sober up.,SUBSTANCE ABUSE,Saturday
1/16/2015,8:46 PM,OUTSIDE USC AREA,1500178,1/16/2015,8:45 PM,PROPERTY,A student reported his bicycle missing.,THEFT,Saturday
1/17/2015,3:42 PM,UNIVERSITY GATEWAY APARTMENTS,1500179,1/16/2015,3:20 PM,ALCOHOL,A student was transported to a local hospital for medical treatment following an alcohol overdose.,SUBSTANCE ABUSE,Saturday
1/17/2015,3:20 PM,JACK IN THE BOX,1500180,1/15/2015,3:30 PM,BATTERY,A non-USC male was arrested and booked for battery upon another non-USC male.,PHYSICAL HARM,Friday
1/17/2015,1:05 AM,PANDA EXPRESS,1500181,1/16/2015,7:00 PM,ALCOHOL,A student was transported to a local hospital for medical treatment following an alcohol overdose.,SUBSTANCE ABUSE,Saturday
1/17/2015,3:11 AM,UNIVERSITY GATEWAY APARTMENTS,1500182,1/16/2015,3:10 AM,ALCOHOL,A student was transported to a local hospital for medical treatment following an alcohol overdose.,SUBSTANCE ABUSE,Saturday
